soc,ocv_v
0.000000,3.003750
0.005000,3.176250
0.010000,3.273750
0.015000,3.341250
0.020000,3.395000
0.025000,3.437500
0.030000,3.473750
0.035000,3.505000
0.040000,3.532500
0.045000,3.556250
0.050000,3.577500
0.055000,3.593750
0.060000,3.607500
0.065000,3.616250
0.070000,3.622500
0.075000,3.626250
0.080000,3.630000
0.085000,3.632500
0.090000,3.635625
0.095000,3.637500
0.100000,3.640000
0.105000,3.641250
0.110000,3.643750
0.115000,3.646250
0.120000,3.647500
0.125000,3.649375
0.130000,3.651250
0.135000,3.653750
0.140000,3.656250
0.145000,3.658750
0.150000,3.662500
0.155000,3.665000
0.160000,3.668125
0.165000,3.671250
0.170000,3.673750
0.175000,3.676250
0.180000,3.678750
0.185000,3.681250
0.190000,3.683125
0.195000,3.685000
0.200000,3.687500
0.205000,3.688750
0.210000,3.691250
0.215000,3.692500
0.220000,3.695000
0.225000,3.696250
0.230000,3.698750
0.235000,3.700000
0.240000,3.702500
0.245000,3.703750
0.250000,3.706250
0.255000,3.707500
0.260000,3.710000
0.265000,3.711250
0.270000,3.713750
0.275000,3.715000
0.280000,3.716250
0.285000,3.718750
0.290000,3.720625
0.295000,3.723125
0.300000,3.725000
0.305000,3.727500
0.310000,3.729375
0.315000,3.731250
0.320000,3.733750
0.325000,3.736250
0.330000,3.737500
0.335000,3.740000
0.340000,3.742500
0.345000,3.745000
0.350000,3.747500
0.355000,3.748750
0.360000,3.752500
0.365000,3.753750
0.370000,3.756875
0.375000,3.759375
0.380000,3.762500
0.385000,3.764375
0.390000,3.767500
0.395000,3.770000
0.400000,3.772500
0.405000,3.775000
0.410000,3.777500
0.415000,3.780625
0.420000,3.783750
0.425000,3.786250
0.430000,3.789375
0.435000,3.792500
0.440000,3.795000
0.445000,3.798750
0.450000,3.801250
0.455000,3.805000
0.460000,3.807500
0.465000,3.810625
0.470000,3.815000
0.475000,3.817500
0.480000,3.821250
0.485000,3.824375
0.490000,3.827500
0.495000,3.831250
0.500000,3.835000
0.505000,3.838750
0.510000,3.842500
0.515000,3.846250
0.520000,3.850000
0.525000,3.853750
0.530000,3.857500
0.535000,3.861250
0.540000,3.865000
0.545000,3.868750
0.550000,3.872500
0.555000,3.876250
0.560000,3.880000
0.565000,3.884375
0.570000,3.888750
0.575000,3.892500
0.580000,3.896250
0.585000,3.900000
0.590000,3.903750
0.595000,3.908125
0.600000,3.912500
0.605000,3.916250
0.610000,3.920625
0.615000,3.925000
0.620000,3.930000
0.625000,3.936250
0.630000,3.942500
0.635000,3.948750
0.640000,3.957500
0.645000,3.965000
0.650000,3.972500
0.655000,3.978750
0.660000,3.983750
0.665000,3.990000
0.670000,3.993750
0.675000,3.998750
0.680000,4.001875
0.685000,4.005625
0.690000,4.010000
0.695000,4.015000
0.700000,4.020000
0.705000,4.024375
0.710000,4.030000
0.715000,4.035000
0.720000,4.040000
0.725000,4.046250
0.730000,4.051250
0.735000,4.057500
0.740000,4.061875
0.745000,4.067500
0.750000,4.072500
0.755000,4.078750
0.760000,4.083750
0.765000,4.088750
0.770000,4.094375
0.775000,4.098750
0.780000,4.105000
0.785000,4.110000
0.790000,4.116250
0.795000,4.121250
0.800000,4.126250
0.805000,4.131250
0.810000,4.137500
0.815000,4.142500
0.820000,4.147500
0.825000,4.153750
0.830000,4.158750
0.835000,4.163750
0.840000,4.169375
0.845000,4.175000
0.850000,4.180625
0.855000,4.186250
0.860000,4.191250
0.865000,4.196250
0.870000,4.201250
0.875000,4.207500
0.880000,4.212500
0.885000,4.217500
0.890000,4.222500
0.895000,4.228750
0.900000,4.233750
0.905000,4.238750
0.910000,4.244375
0.915000,4.248750
0.920000,4.255000
0.925000,4.260000
0.930000,4.265000
0.935000,4.270000
0.940000,4.275000
0.945000,4.279375
0.950000,4.283750
0.955000,4.288750
0.960000,4.293750
0.965000,4.298750
0.970000,4.302500
0.975000,4.307500
0.980000,4.312500
0.985000,4.318750
0.990000,4.324375
0.995000,4.333750
1.000000,4.400000
