temp_c,soc,r0_ohm,rdc_ohm,r1_ohm,n
10.0,0.025000,0.000756,0.008000,0.006512,28
10.0,0.075000,0.010495,0.015458,0.005995,13
10.0,0.125000,0.010799,0.017354,0.006647,4
10.0,0.175000,0.010340,0.016375,0.006899,12
10.0,0.225000,0.008630,0.011875,0.004821,5
10.0,0.275000,0.004289,0.008062,0.004578,10
10.0,0.325000,0.010115,0.016938,0.006292,8
10.0,0.375000,0.000477,0.006437,0.005967,16
10.0,0.425000,0.015645,0.025344,0.008437,18
10.0,0.475000,0.012666,0.018875,0.006665,19
10.0,0.525000,0.016073,0.025750,0.009178,7
10.0,0.575000,0.016656,0.024656,0.008377,14
10.0,0.625000,0.000434,0.005875,0.005412,23
10.0,0.675000,0.000258,0.004625,0.004365,9
10.0,0.725000,0.000170,0.003875,0.003705,3
20.0,0.025000,0.006383,0.012438,0.006295,10
20.0,0.075000,0.005870,0.011625,0.004912,17
20.0,0.125000,0.007915,0.013083,0.004793,8
20.0,0.175000,0.006916,0.010292,0.003858,9
20.0,0.225000,0.007664,0.011125,0.004866,5
20.0,0.275000,0.011259,0.016875,0.005616,9
20.0,0.325000,0.011599,0.016500,0.005172,15
20.0,0.375000,0.011352,0.016500,0.004977,21
20.0,0.425000,0.009787,0.014687,0.004981,11
20.0,0.475000,0.007917,0.012646,0.004420,18
20.0,0.525000,0.010051,0.014562,0.005074,14
20.0,0.575000,0.014853,0.023000,0.007127,9
20.0,0.625000,0.000338,0.004750,0.004412,11
20.0,0.675000,0.000172,0.003625,0.003453,8
20.0,0.725000,0.000231,0.004083,0.003808,6
20.0,0.775000,0.000258,0.004312,0.004094,6
20.0,0.825000,0.000088,0.003500,0.003416,9
20.0,0.875000,0.000087,0.003125,0.003037,3
30.0,0.025000,0.003294,0.006719,0.003459,4
30.0,0.075000,0.003814,0.006250,0.003286,11
30.0,0.125000,0.004993,0.008437,0.003446,6
30.0,0.175000,0.009358,0.014781,0.005834,6
30.0,0.225000,0.008824,0.013500,0.004489,14
30.0,0.275000,0.008854,0.012625,0.003892,13
30.0,0.325000,0.010446,0.016125,0.005246,11
30.0,0.375000,0.006494,0.010323,0.003829,6
30.0,0.425000,0.001414,0.004750,0.004041,7
30.0,0.475000,0.001851,0.005083,0.004057,12
30.0,0.525000,0.005022,0.008833,0.003753,13
30.0,0.575000,0.005953,0.009531,0.003697,26
30.0,0.625000,0.008329,0.012594,0.003958,22
30.0,0.675000,0.000172,0.004375,0.004203,13
30.0,0.725000,0.000169,0.003812,0.003682,12
30.0,0.775000,0.000087,0.003437,0.003310,10
30.0,0.825000,0.000169,0.003125,0.002956,3
40.0,0.025000,0.003206,0.008031,0.004793,6
40.0,0.075000,0.004266,0.007406,0.003100,20
40.0,0.125000,0.006566,0.011000,0.003454,7
40.0,0.175000,0.007138,0.010563,0.003223,16
40.0,0.225000,0.007230,0.012312,0.004804,9
40.0,0.275000,0.006071,0.010792,0.004721,3
40.0,0.425000,0.002736,0.005875,0.003139,5
40.0,0.475000,0.003874,0.006958,0.002986,13
40.0,0.525000,0.006533,0.009750,0.003550,13
40.0,0.575000,0.006772,0.010375,0.003571,16
40.0,0.625000,0.006021,0.010437,0.003911,15
40.0,0.675000,0.000217,0.004021,0.003802,6
40.0,0.725000,0.000142,0.003250,0.003108,7
40.0,0.775000,0.000116,0.003125,0.002995,13
40.0,0.825000,0.000088,0.002687,0.002601,15
40.0,0.875000,0.000086,0.002875,0.002790,20
