battery,temp_c,soc_label_v,current_a,pulse_index,v_pre_v,v_min_v,v_0p05_v,v_0p10_v,r0_ohm_pack,rdc_ohm_pack,r1_ohm_pack,soc_est
202502130047,10.0,30,30,1,28.71000,22.61000,25.48404,24.53111,0.123414,0.203333,0.079919,0.053462
202502130047,10.0,30,30,2,30.51000,23.29000,27.93532,25.43957,0.127418,0.240667,0.113248,0.468571
202502130047,10.0,30,30,3,30.35000,23.73000,27.78571,25.85714,0.117619,0.220667,0.103048,0.437500
202502130047,10.0,30,20,1,29.36000,26.00000,27.55355,26.93000,0.105911,0.168000,0.062089,0.163000
202502130047,10.0,30,20,2,27.86000,26.08000,27.04378,26.90239,0.044346,0.089000,0.044654,0.031400
202502130047,10.0,30,20,3,28.22000,26.17000,27.14361,26.97967,0.057918,0.102500,0.044582,0.039091
202502130047,10.0,30,10,1,30.21000,28.13000,29.00032,28.57255,0.142356,0.208000,0.065644,0.407500
202502130047,10.0,30,10,2,30.06000,28.12000,28.77958,28.53548,0.140247,0.194000,0.053753,0.371250
202502130047,10.0,30,10,3,29.11000,28.11000,28.57609,28.48609,0.057891,0.100000,0.042109,0.097500
202502130047,10.0,32,30,1,31.24000,23.52000,27.36903,25.72043,0.156509,0.257333,0.100824,0.591429
202502130047,10.0,32,30,2,31.86000,23.97000,28.39968,26.42854,0.148196,0.263000,0.114804,0.658750
202502130047,10.0,32,30,3,30.91000,24.48000,27.70417,26.40083,0.128583,0.214333,0.085750,0.538333
202502130047,10.0,32,20,1,29.95000,26.81000,28.46562,27.91400,0.088009,0.157000,0.068991,0.342500
202502130047,10.0,32,20,2,29.33000,26.92000,28.12813,27.92871,0.065079,0.120500,0.055421,0.157000
202502130047,10.0,32,20,3,31.10000,27.03000,28.72130,28.07625,0.135061,0.203500,0.068439,0.568571
202502130047,10.0,32,10,1,30.09000,29.12000,29.65478,29.57472,0.047525,0.097000,0.049475,0.378000
202502130047,10.0,32,10,2,30.04000,29.10000,29.62333,29.54489,0.045589,0.094000,0.048411,0.367000
202502130047,10.0,32,10,3,29.90000,29.09000,29.59391,29.52467,0.034071,0.081000,0.046929,0.330000
202502130047,10.0,35,30,1,27.26000,25.48000,27.13850,27.01701,0.006075,0.059333,0.053259,0.021471
202502130047,10.0,35,30,2,27.83000,26.03000,27.72189,27.61378,0.005405,0.060000,0.054595,0.030800
202502130047,10.0,35,30,3,28.28000,26.57000,28.18741,28.09481,0.004630,0.057000,0.052370,0.040526
202502130047,10.0,35,20,1,29.99000,28.96000,29.94045,29.89090,0.003716,0.051500,0.047784,0.355000
202502130047,10.0,35,20,2,30.05000,29.06000,29.99907,29.94815,0.003819,0.049500,0.045681,0.369000
202502130047,10.0,35,20,3,30.09000,29.14000,30.04909,30.00818,0.003068,0.047500,0.044432,0.378000
202502130047,10.0,35,10,1,31.68000,31.22000,31.65706,31.63413,0.003440,0.046000,0.042560,0.641667
202502130047,10.0,35,10,2,31.64000,31.17000,31.61727,31.59455,0.003409,0.047000,0.043591,0.638571
202502130047,10.0,35,10,3,31.60000,31.15000,31.58148,31.56296,0.002778,0.045000,0.042222,0.635714
202502130047,20.0,30,30,1,30.15000,24.35000,27.57885,25.93951,0.113027,0.193333,0.080306,0.392500
202502130047,20.0,30,30,2,28.62000,24.58000,26.41422,25.84213,0.083061,0.134667,0.051606,0.050000
202502130047,20.0,30,30,3,29.47000,24.88000,27.15167,26.15913,0.093820,0.153000,0.059180,0.191667
202502130047,20.0,30,20,1,29.99000,26.71000,28.06304,27.45776,0.111480,0.164000,0.052520,0.355000
202502130047,20.0,30,20,2,29.21000,26.78000,27.71702,27.46106,0.081048,0.121500,0.040452,0.130000
202502130047,20.0,30,20,3,28.80000,26.83000,27.64851,27.47500,0.061912,0.098500,0.036588,0.057273
202502130047,20.0,30,10,1,29.16000,28.41000,28.81574,28.70609,0.039909,0.075000,0.035091,0.112500
202502130047,20.0,30,10,2,29.64000,28.41000,28.92689,28.72021,0.081645,0.123000,0.041355,0.247500
202502130047,20.0,30,10,3,29.74000,28.39000,28.97016,28.70833,0.090075,0.135000,0.044925,0.282500
202502130047,20.0,32,30,1,30.18000,24.93000,27.21064,26.53404,0.110255,0.175000,0.064745,0.400000
202502130047,20.0,32,30,2,30.37000,25.22000,27.57304,26.73867,0.107138,0.171667,0.064529,0.441667
202502130047,20.0,32,30,3,30.45000,25.49000,27.82085,26.92298,0.102603,0.165333,0.062730,0.457500
202502130047,20.0,32,20,1,30.47000,27.47000,28.82246,28.28574,0.095795,0.150000,0.054205,0.462000
202502130047,20.0,32,20,2,31.18000,27.50000,29.21968,28.38723,0.118827,0.184000,0.065173,0.581667
202502130047,20.0,32,20,3,30.60000,27.55000,28.72217,28.31347,0.104109,0.152500,0.048391,0.486000
202502130047,20.0,32,10,1,30.19000,29.30000,29.70417,29.63625,0.051979,0.089000,0.037021,0.402500
202502130047,20.0,32,10,2,30.64000,29.29000,29.75000,29.63617,0.094691,0.135000,0.040309,0.493333
202502130047,20.0,32,10,3,29.99000,29.25000,29.70212,29.58682,0.034553,0.074000,0.039447,0.355000
202502130047,20.0,35,30,1,29.50000,28.23000,29.43182,29.36364,0.003409,0.042333,0.038924,0.200000
202502130047,20.0,35,30,2,29.88000,28.56000,29.80593,29.73185,0.003704,0.044000,0.040296,0.322500
202502130047,20.0,35,30,3,30.15000,28.90000,30.09091,30.03182,0.002955,0.041667,0.038712,0.392500
202502130047,20.0,35,20,1,31.55000,30.79000,31.51396,31.47793,0.002703,0.038000,0.035297,0.631000
202502130047,20.0,35,20,2,31.58000,30.84000,31.54729,31.51458,0.002453,0.037000,0.034547,0.634000
202502130047,20.0,35,20,3,31.60000,30.88000,31.56759,31.53519,0.002431,0.036000,0.033569,0.635714
202502130047,20.0,35,10,1,32.86000,32.52000,32.85074,32.84148,0.001389,0.034000,0.032611,0.782500
202502130047,20.0,35,10,2,32.83000,32.49000,32.81611,32.80222,0.002083,0.034000,0.031917,0.779000
202502130047,20.0,35,10,3,32.79000,32.46000,32.78091,32.77182,0.001364,0.033000,0.031636,0.775000
202502130047,30.0,30,30,1,29.79000,25.54000,27.78304,26.62754,0.086157,0.141667,0.055510,0.296667
202502130047,30.0,30,30,2,29.24000,25.67000,27.36313,26.64830,0.074476,0.119000,0.044524,0.137500
202502130047,30.0,30,30,3,29.25000,25.82000,27.50190,26.85111,0.069116,0.114333,0.045217,0.140000
202502130047,30.0,30,20,1,29.53000,27.27000,28.24667,27.85957,0.073844,0.113000,0.039156,0.210000
202502130047,30.0,30,20,2,29.73000,27.28000,28.34739,27.87234,0.081007,0.122500,0.041493,0.280000
202502130047,30.0,30,20,3,28.32000,27.32000,27.90694,27.85814,0.021873,0.050000,0.028127,0.041579
202502130047,30.0,30,10,1,29.66000,28.54000,28.89449,28.80818,0.080866,0.112000,0.031134,0.255000
202502130047,30.0,30,10,2,29.14000,28.53000,28.81760,28.77932,0.034154,0.061000,0.026846,0.107500
202502130047,30.0,30,10,3,29.25000,28.51000,28.81687,28.76891,0.045711,0.074000,0.028289,0.140000
202502130047,30.0,32,30,1,31.72000,28.11000,30.03128,29.15048,0.070971,0.120333,0.049363,0.645000
202502130047,30.0,32,30,2,30.55000,28.11000,29.24333,29.07667,0.046333,0.081333,0.035000,0.476667
202502130047,30.0,32,30,3,31.83000,28.10000,30.35762,29.31794,0.066407,0.124333,0.057926,0.655000
202502130047,30.0,32,20,1,31.59000,29.30000,30.36778,29.93437,0.071946,0.114500,0.042554,0.635000
202502130047,30.0,32,20,2,31.71000,29.25000,30.44016,29.90532,0.076863,0.123000,0.046137,0.644167
202502130047,30.0,32,20,3,30.91000,29.20000,29.89870,29.77619,0.053628,0.085500,0.031872,0.538333
202502130047,30.0,32,10,1,31.56000,30.31000,30.72059,30.60932,0.089505,0.125000,0.035495,0.632000
202502130047,30.0,32,10,2,31.49000,30.25000,30.72417,30.54755,0.085414,0.124000,0.038586,0.625000
