temp_c,soc,r0_ohm,rdc_ohm,r1_ohm,n
10.0,0.025000,0.006047,0.064000,0.052098,28
10.0,0.075000,0.083960,0.123667,0.047962,13
10.0,0.125000,0.086389,0.138833,0.053173,4
10.0,0.175000,0.082719,0.131000,0.055194,12
10.0,0.225000,0.069044,0.095000,0.038565,5
10.0,0.275000,0.034311,0.064500,0.036625,10
10.0,0.325000,0.080918,0.135500,0.050336,8
10.0,0.375000,0.003819,0.051500,0.047732,16
10.0,0.425000,0.125162,0.202750,0.067494,18
10.0,0.475000,0.101324,0.151000,0.053323,19
10.0,0.525000,0.128583,0.206000,0.073423,7
10.0,0.575000,0.133244,0.197250,0.067019,14
10.0,0.625000,0.003472,0.047000,0.043297,23
10.0,0.675000,0.002064,0.037000,0.034917,9
10.0,0.725000,0.001364,0.031000,0.029636,3
20.0,0.025000,0.051065,0.099500,0.050361,10
20.0,0.075000,0.046956,0.093000,0.039296,17
20.0,0.125000,0.063317,0.104667,0.038345,8
20.0,0.175000,0.055331,0.082333,0.030865,9
20.0,0.225000,0.061314,0.089000,0.038924,5
20.0,0.275000,0.090075,0.135000,0.044925,9
20.0,0.325000,0.092789,0.132000,0.041378,15
20.0,0.375000,0.090815,0.132000,0.039818,21
20.0,0.425000,0.078294,0.117500,0.039850,11
20.0,0.475000,0.063338,0.101167,0.035364,18
20.0,0.525000,0.080409,0.116500,0.040595,14
20.0,0.575000,0.118827,0.184000,0.057018,9
20.0,0.625000,0.002703,0.038000,0.035297,11
20.0,0.675000,0.001376,0.029000,0.027624,8
20.0,0.725000,0.001852,0.032667,0.030468,6
20.0,0.775000,0.002064,0.034500,0.032754,6
20.0,0.825000,0.000701,0.028000,0.027330,9
20.0,0.875000,0.000694,0.025000,0.024299,3
30.0,0.025000,0.026354,0.053750,0.027670,4
30.0,0.075000,0.030512,0.050000,0.026284,11
30.0,0.125000,0.039945,0.067500,0.027568,6
30.0,0.175000,0.074861,0.118250,0.046673,6
30.0,0.225000,0.070593,0.108000,0.035913,14
30.0,0.275000,0.070833,0.101000,0.031134,13
30.0,0.325000,0.083566,0.129000,0.041968,11
30.0,0.375000,0.051950,0.082583,0.030633,6
30.0,0.425000,0.011313,0.038000,0.032330,7
30.0,0.475000,0.014811,0.040667,0.032452,12
30.0,0.525000,0.040176,0.070667,0.030027,13
30.0,0.575000,0.047623,0.076250,0.029576,26
30.0,0.625000,0.066634,0.100750,0.031666,22
30.0,0.675000,0.001376,0.035000,0.033624,13
30.0,0.725000,0.001351,0.030500,0.029458,12
30.0,0.775000,0.000694,0.027500,0.026477,10
30.0,0.825000,0.001351,0.025000,0.023649,3
40.0,0.025000,0.025648,0.064250,0.038341,6
40.0,0.075000,0.034127,0.059250,0.024798,20
40.0,0.125000,0.052530,0.088000,0.027632,7
40.0,0.175000,0.057100,0.084500,0.025787,16
40.0,0.225000,0.057843,0.098500,0.038435,9
40.0,0.275000,0.048568,0.086333,0.037766,3
40.0,0.425000,0.021885,0.047000,0.025115,5
40.0,0.475000,0.030993,0.055667,0.023890,13
40.0,0.525000,0.052266,0.078000,0.028402,13
40.0,0.575000,0.054178,0.083000,0.028569,16
40.0,0.625000,0.048165,0.083500,0.031290,15
40.0,0.675000,0.001735,0.032167,0.030414,6
40.0,0.725000,0.001136,0.026000,0.024864,7
40.0,0.775000,0.000926,0.025000,0.023958,13
40.0,0.825000,0.000708,0.021500,0.020806,15
40.0,0.875000,0.000688,0.023000,0.022318,20
