,used_soc,cell_ocv
0,0.0,4.4
102,0.01,4.35375
106,0.02,4.3525
110,0.03,4.351875
114,0.04,4.35125
118,0.05,4.35
122,0.06,4.35
126,0.07,4.34875
130,0.08,4.34875
134,0.09,4.3475
138,0.1,4.3475
143,0.11,4.34625
147,0.12,4.34625
151,0.13,4.345
155,0.14,4.345
159,0.15,4.345
163,0.16,4.34375
167,0.17,4.34375
171,0.18,4.34375
175,0.19,4.3425
179,0.2,4.3425
184,0.21,4.341875
188,0.22,4.34125
192,0.23,4.34125
196,0.24,4.34125
200,0.25,4.34125
204,0.26,4.340624999999999
208,0.27,4.34
212,0.28,4.34
216,0.29,4.34
221,0.3,4.33875
225,0.31,4.33875
229,0.32,4.33875
233,0.33,4.3375
237,0.34,4.3375
241,0.35,4.3375
245,0.36,4.3375
249,0.37,4.3375
253,0.38,4.33625
257,0.39,4.33625
262,0.4,4.33625
266,0.41,4.33625
270,0.42,4.335625
274,0.43,4.335
278,0.44,4.335
282,0.45,4.335
286,0.46,4.335
290,0.47,4.335
294,0.48,4.33375
299,0.49,4.33375
303,0.5,4.33375
307,0.51,4.33375
311,0.52,4.3325
315,0.53,4.3325
319,0.54,4.3325
323,0.55,4.3325
327,0.56,4.3325
331,0.57,4.3325
335,0.58,4.33125
340,0.59,4.33125
344,0.6,4.33125
348,0.61,4.33125
352,0.62,4.33125
356,0.63,4.33125
360,0.64,4.3306249999999995
364,0.65,4.33
368,0.66,4.33
372,0.67,4.33
376,0.68,4.33
380,0.69,4.33
385,0.7,4.32875
389,0.71,4.32875
393,0.72,4.32875
397,0.73,4.32875
401,0.74,4.32875
405,0.75,4.32875
409,0.76,4.3275
413,0.77,4.3275
418,0.78,4.3275
422,0.79,4.3275
426,0.8,4.3275
430,0.81,4.3275
434,0.82,4.3275
438,0.83,4.3275
442,0.84,4.326874999999999
446,0.85,4.32625
450,0.86,4.326874999999999
455,0.87,4.32625
459,0.88,4.32625
463,0.89,4.32625
467,0.9,4.32625
471,0.91,4.32625
475,0.92,4.32625
479,0.93,4.32625
483,0.94,4.3256250000000005
487,0.95,4.325
492,0.96,4.325
496,0.97,4.325
500,0.98,4.325
504,0.99,4.325
508,1.0,4.324375
512,1.01,4.325
516,1.02,4.32375
520,1.03,4.32375
525,1.04,4.32375
529,1.05,4.32375
533,1.06,4.32375
537,1.07,4.32375
541,1.08,4.32375
545,1.09,4.32375
549,1.1,4.323125
553,1.11,4.32375
557,1.12,4.3225
561,1.13,4.3225
566,1.14,4.3225
570,1.15,4.3225
574,1.16,4.3225
578,1.17,4.3225
582,1.18,4.3225
586,1.19,4.3225
590,1.2,4.3225
594,1.21,4.321875
598,1.22,4.32125
603,1.23,4.32125
607,1.24,4.32125
611,1.25,4.32125
615,1.26,4.32125
619,1.27,4.32125
623,1.28,4.32125
627,1.29,4.32
631,1.3,4.32
635,1.31,4.32
639,1.32,4.32
644,1.33,4.32
648,1.34,4.32
652,1.35,4.32
656,1.36,4.32
660,1.37,4.32
664,1.38,4.32
668,1.39,4.319375
672,1.4,4.319375
676,1.41,4.31875
681,1.42,4.31875
685,1.43,4.31875
689,1.44,4.31875
693,1.45,4.31875
697,1.46,4.31875
701,1.47,4.31875
705,1.48,4.31875
709,1.49,4.31875
713,1.5,4.31875
718,1.51,4.318125
722,1.52,4.318125
726,1.53,4.3175
730,1.54,4.3175
734,1.55,4.3175
738,1.56,4.3175
742,1.57,4.3175
746,1.58,4.3175
750,1.59,4.3175
754,1.6,4.3175
758,1.61,4.3175
763,1.62,4.3175
767,1.63,4.316875
771,1.64,4.316875
775,1.65,4.31625
779,1.66,4.31625
783,1.67,4.31625
787,1.68,4.31625
791,1.69,4.31625
795,1.7,4.31625
799,1.71,4.31625
804,1.72,4.31625
808,1.73,4.315
812,1.74,4.315
816,1.75,4.315
820,1.76,4.315
824,1.77,4.315
828,1.78,4.315
832,1.79,4.315
836,1.8,4.315
840,1.81,4.315
844,1.82,4.315
849,1.83,4.315
853,1.84,4.315
857,1.85,4.314375
861,1.86,4.31375
865,1.87,4.31375
869,1.88,4.31375
873,1.89,4.31375
877,1.9,4.31375
881,1.91,4.31375
885,1.92,4.31375
890,1.93,4.31375
894,1.94,4.31375
898,1.95,4.31375
902,1.96,4.31375
906,1.97,4.313124999999999
910,1.98,4.3125
914,1.99,4.3125
918,2.0,4.3125
922,2.01,4.3125
927,2.02,4.3125
931,2.03,4.3125
935,2.04,4.3125
939,2.05,4.3125
943,2.06,4.311875000000001
947,2.07,4.311875000000001
951,2.08,4.31125
955,2.09,4.31125
959,2.1,4.31125
964,2.11,4.31125
968,2.12,4.31125
972,2.13,4.31125
976,2.14,4.31125
980,2.15,4.31125
984,2.16,4.31125
988,2.17,4.31125
992,2.18,4.31125
996,2.19,4.310625
1001,2.2,4.31
1005,2.21,4.31
1009,2.22,4.31
1013,2.23,4.31
1017,2.24,4.31
1021,2.25,4.31
1025,2.26,4.31
1029,2.27,4.31
1033,2.28,4.31
1038,2.29,4.31
1042,2.3,4.31
1046,2.31,4.31
1050,2.32,4.309374999999999
1054,2.33,4.30875
1058,2.34,4.30875
1062,2.35,4.30875
1067,2.36,4.30875
1071,2.37,4.30875
1075,2.38,4.30875
1079,2.39,4.30875
1083,2.4,4.30875
1087,2.41,4.30875
1091,2.42,4.30875
1095,2.43,4.30875
1099,2.44,4.30875
1104,2.45,4.308125
1108,2.46,4.3075
1112,2.47,4.3075
1116,2.48,4.3075
1120,2.49,4.3075
1124,2.5,4.3075
1128,2.51,4.3075
1132,2.52,4.3075
1137,2.53,4.3075
1141,2.54,4.3075
1145,2.55,4.306875
1149,2.56,4.30625
1153,2.57,4.30625
1157,2.58,4.30625
1161,2.59,4.3075
1165,2.6,4.30625
1170,2.61,4.30625
